#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-04T23:29:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b15cb297d6b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASP/129/E4501&tab:{J/PASP/129/E4501/table1}&key:source=J/PASP/129/E4501&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/129/E4501/table1
#-order=I
#-out=Star
#-out=RAJ2000
#-out=DEJ2000
#-out=Ep
#-out=Vmag
#-out=SpType
#-out=Dist
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_61303501
#Name: J/PASP/129/E4501
#Title: Search for extraterrestrial intelligence (Isaacson+, 2017)
#Table	J_PASP_129_E4501_table1:
#Name: J/PASP/129/E4501/table1
#Title: Stellar Targets
#Column	Star	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ep	(I4)	[2000] Epoch	[ucd=time.epoch]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a7)	Spectral type	[ucd=src.spType]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	pmRA	(F5.2)	Proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
Star|RAJ2000|DEJ2000|Ep|Vmag|SpType|Dist|pmRA|pmDE|SimbadName
HIP950   |00 11 44.0|-35 07 59|2000| 5.24|F3/F5V |21.80| 0.17| 0.11|HIP950
HIP974   |00 12 04.0|+27 05 56|2000| 8.73|K0     |25.70| 0.28|-0.08|HIP974
HIP1031  |00 12 50.3|-57 54 45|2000| 7.22|K0V    |20.30|-0.12| 0.04|HIP1031
HIP1086  |00 13 30.8|+41 02 07|2000| 5.71|F0IV   |35.00|-0.12|-0.15|HIP1086
HIP1242  |00 15 28.1|-16 08 01|2000|11.40|M:     | 5.21| 0.73|-0.62|HIP1242
HIP1292  |00 16 12.7|-79 51 04|2000| 6.59|G6V    |17.60| 0.43|-0.06|HIP1292
HIP1349  |00 16 53.9|-52 39 04|2000| 6.84|G2V    |23.00| 0.31| 0.18|HIP1349
HIP1368  |00 17 06.4|+40 56 53|2000| 8.99|M0     |14.90| 0.57| 0.08|HIP1368
HIP1444  |00 17 58.9|-13 27 20|2000| 6.51|G2V    |26.10| 0.40| 0.00|HIP1444
HIP1463  |00 18 16.6|+10 12 10|2000|10.80|M0     |16.20| 0.00|-0.03|HIP1463
HIP1473  |00 18 19.7|+36 47 06|2000| 4.51|A2V    |43.20|-0.07|-0.04|HIP1473
GJ15A    |00 18 22.9|+44 01 23|2000| 8.08|M1.5V  | 3.57| 2.89| 0.41|GJ15A
GJ15B    |00 18 25.5|+44 01 37|2000|11.00|M3.5V  | 3.57| 2.89| 0.41|GJ15B
HIP1499  |00 18 41.9|-08 03 10|2000| 6.47|G0V    |23.40| 0.42|-0.14|HIP1499
HIP1532  |00 19 05.6|-09 57 53|2000| 9.90|K7V    |20.70|-0.04|-0.30|HIP1532
HIP1599  |00 20 04.3|-64 52 29|2000| 4.23|F9V    | 8.59| 1.71| 1.17|HIP1599
HIP1692  |00 21 13.3|-08 16 52|2000| 9.19|K2     |23.00| 0.00| 0.00|HIP1692
HIP1768  |00 22 23.6|-27 01 57|2000| 8.30|K1V    |22.40| 0.21|-0.40|HIP1768
HIP1803  |00 22 51.8|-12 12 33|2000| 6.39|G3V    |20.30| 0.39| 0.06|HIP1803
HIP1837  |00 23 16.0|-33 10 03|2000| 8.74|K3/K4V |22.20|-0.03| 0.13|HIP1837
HIP1936  |00 24 25.9|-27 01 36|2000| 7.92|K2V    |18.00| 0.67| 0.08|HIP1936
HIP2072  |00 26 12.2|-43 40 47|2000| 3.93|A7V    |23.50| 0.11| 0.03|HIP2072
HIP2081  |00 26 17.1|-42 18 21|2000| 2.40|K0III..|23.70| 0.23|-0.35|HIP2081
HIP2120  |00 26 52.7|+70 08 32|2000|10.50|M0     |16.20|-0.14|-0.15|HIP2120
HIP2422  |00 30 55.1|+77 01 09|2000| 6.18|K0IV   |39.40| 0.34|-0.03|HIP2422
HIP2552  |00 32 29.4|+67 14 08|2000|10.20|M2.5Ve |10.10| 1.74|-0.22|HIP2552
HIP2578  |00 32 43.9|-63 01 53|2000| 5.07|A0V    |46.40| 0.09|-0.05|HIP2578
HIP2711  |00 34 27.8|-52 22 23|2000| 5.57|F3IV-V |25.60| 0.23| 0.04|HIP2711
HIP2762  |00 35 14.9|-03 35 34|2000| 5.20|F8V... |21.00| 0.41|-0.04|HIP2762
HIP2852  |00 36 06.9|-22 50 32|2000| 6.06|A5m... |49.70|-0.07|-0.05|HIP2852
HIP2941  |00 37 20.7|-24 46 02|2000| 5.57|K1V+...|15.50| 1.42|-0.02|HIP2941
HIP3092  |00 39 19.7|+30 51 39|2000| 3.27|K3III..|31.00| 0.12|-0.08|HIP3092
HIP3093  |00 39 21.8|+21 15 01|2000| 5.88|K0V    |11.10|-0.46|-0.37|HIP3093
HIP3170  |00 40 25.7|-59 27 16|2000| 5.89|G1V    |25.40| 0.88| 0.44|HIP3170
HIP3206  |00 40 49.3|+40 11 13|2000| 7.36|K2V    |17.20| 0.36|-0.67|HIP3206
HIP3418  |00 43 32.9|+33 50 40|2000| 8.73|K8     |20.70|-0.20|-0.36|HIP3418
HIP3419  |00 43 35.4|-17 59 11|2000| 2.04|K0III  |29.30| 0.23| 0.03|HIP3419
HIP3497  |00 44 39.3|-65 38 58|2000| 6.55|G3V    |21.80| 0.16|-0.74|HIP3497
HIP3505  |00 44 44.4|-22 00 22|2000| 5.22|F0V    |27.80|-0.07| 0.08|HIP3505
HIP3535  |00 45 04.9|+01 47 07|2000| 8.03|K2V    |22.00|-0.05|-0.57|HIP3535
HIP3583  |00 45 45.6|-47 33 07|2000| 5.80|G5IV   |14.90| 0.18| 0.08|HIP3583
HIP3588  |00 45 48.3|-41 54 33|2000| 7.89|K5V com|16.00| 0.30|-0.08|HIP3588
HIP3765  |00 48 23.0|+05 16 50|2000| 5.74|K2V    | 7.46| 0.76|-1.14|HIP3765
HIP3821  |00 49 06.3|+57 48 54|2000| 3.46|G0V SB | 5.95| 1.09|-0.56|HIP3821
HIP3850  |00 49 26.8|-23 12 44|2000| 7.15|G8/K0V |18.80| 0.52| 0.12|HIP3850
HIP3876  |00 49 46.5|+70 26 58|2000| 7.75|K0     |21.50| 0.37| 0.20|HIP3876
HIP3909  |00 50 07.6|+10 38 39|2000| 5.17|F7IV-V |15.40|-0.22|-0.23|HIP3909
HIP3979  |00 51 10.8|-05 02 21|2000| 6.98|G0     |22.00| 0.26|-0.12|HIP3979
HIP3998  |00 51 21.8|+18 44 21|2000| 9.22|K2     |21.80| 0.05|-0.27|HIP3998
HIP4022  |00 51 34.0|-22 54 36|2000| 8.95|K5V    |15.10| 0.61|-0.28|HIP4022
HIP4148  |00 53 01.1|-30 21 24|2000| 7.15|K2V    |14.00| 0.62| 0.03|HIP4148
HIP4151  |00 53 04.2|+61 07 26|2000| 4.80|F8V    |18.50|-0.07| 0.17|HIP4151
HIP4288  |00 54 58.1|+23 37 42|2000| 5.46|K1IV   |38.90| 0.14|-0.05|HIP4288
HIP4436  |00 56 45.2|+38 29 57|2000| 3.86|A5V    |41.70| 0.15| 0.04|HIP4436
HIP4454  |00 57 04.4|+69 02 36|2000| 9.12|K4V    |24.10| 0.72|-0.23|HIP4454
HIP4473  |00 57 19.7|-62 14 44|2000| 9.50|K7V    |19.30| 1.03| 0.13|HIP4473
HIP4569  |00 58 27.9|-27 51 25|2000|11.70|---    |13.10| 1.29|-0.30|HIP4569
HIP4845  |01 02 21.1|+10 25 25|2000|10.00|K7V    |21.60| 0.02|-0.18|HIP4845
HIP4849  |01 02 24.6|+05 03 41|2000| 8.16|K2     |21.40| 0.34| 0.22|HIP4849
HIP4856  |01 02 32.2|+71 40 47|2000| 9.98|M3.5e  | 8.14| 1.75|-0.38|HIP4856
HIP4872  |01 02 38.9|+62 20 42|2000| 9.56|K5V... |10.00| 0.73| 0.09|HIP4872
HIP4907  |01 02 57.2|+69 13 37|2000| 7.67|G5     |25.80| 0.22|-0.15|HIP4907
HIP5027  |01 04 24.1|-25 36 17|2000| 9.78|K4/K5V |25.60|-0.03|-0.32|HIP5027
HIP5110  |01 05 29.9|+15 23 24|2000| 8.66|K2V    |26.50| 0.01|-0.20|HIP5110
HIP5247  |01 07 08.2|+63 56 28|2000| 9.00|K7V    |15.00| 1.55| 0.32|HIP5247
HIP5286  |01 07 37.9|+22 57 17|2000| 8.41|K4V    |20.70| 0.10|-0.49|HIP5286
HIP5310  |01 07 57.2|+20 44 20|2000| 5.56|A3V    |49.40| 0.09|-0.09|HIP5310
HIP5336  |01 08 16.4|+54 55 13|2000| 5.17|G5Vp   | 7.55| 3.42|-1.60|HIP5336
HIP5346  |01 08 22.2|+05 38 59|2000| 5.51|F0III-I|35.90|-0.25|-0.17|HIP5346
HIP5364  |01 08 35.4|+10 10 56|2000| 3.46|K2III  |36.00| 0.22|-0.14|HIP5364
HIP5369  |01 08 40.4|+17 14 33|2000|10.50|K6     |27.70|-0.06|-0.58|HIP5369
HIP5496  |01 10 22.9|-67 26 41|2000| 9.80|K      | 8.13| 0.39| 0.57|HIP5496
HIP5521  |01 10 41.9|+42 55 54|2000| 7.66|K0     |26.70|-0.15|-0.20|HIP5521
HIP5542  |01 11 06.2|+55 08 59|2000| 4.34|A7Vvar |42.10| 0.23|-0.02|HIP5542
GJ54.1   |01 12 30.6|-16 59 56|2000|12.10|M4.0V  | 3.71| 1.21| 0.65|GJ54.1
HIP5663  |01 12 46.1|-25 14 08|2000| 9.55|K4V    |22.00| 0.13| 0.02|HIP5663
HIP5799  |01 14 24.0|-07 55 22|2000| 5.14|F5V    |24.30| 0.12| 0.28|HIP5799
HIP5842  |01 15 01.0|-68 49 08|2000| 7.22|K2V    |21.10| 0.42| 0.08|HIP5842
HIP5862  |01 15 11.1|-45 31 53|2000| 4.97|F8V    |15.00| 0.66| 0.18|HIP5862
HIP5896  |01 15 46.2|-68 52 33|2000| 4.25|F6IV   |20.40| 0.41| 0.13|HIP5896
HIP5938  |01 16 24.2|-12 05 49|2000| 7.55|K0V    |26.50| 0.13| 0.00|HIP5938
HIP5944  |01 16 29.3|+42 56 21|2000| 6.59|G0     |23.60|-0.11|-0.03|HIP5944
HIP5957  |01 16 39.4|+25 19 53|2000|10.10|K5     |22.70| 0.43|-0.10|HIP5957
HIP6069  |01 17 53.3|+05 28 26|2000|11.00|M2V:   |15.30| 0.09|-0.63|HIP6069
HIP6290  |01 20 40.7|+57 19 40|2000|10.30|K6V:   |18.90|-0.29| 0.44|HIP6290
HIP6344  |01 21 30.9|+80 09 06|2000| 9.67|K8     |24.10| 0.28|-0.08|HIP6344
HIP6351  |01 21 34.6|-41 39 23|2000|10.10|K5     |16.80| 1.24|-0.46|HIP6351
HIP6379  |01 21 59.1|+76 42 36|2000| 7.17|K0     |16.80|-0.03|-0.03|HIP6379
HIP6414  |01 22 23.1|-33 12 51|2000|10.30|---    |26.90| 0.36|-0.30|HIP6414
HIP6537  |01 24 01.4|-08 10 59|2000| 3.60|K0III  |35.10|-0.08|-0.21|HIP6537
HIP6706  |01 26 15.3|+19 10 20|2000| 5.35|F2V:var|26.00|-0.03| 0.01|HIP6706
HIP6748  |01 26 51.6|-13 03 23|2000| 5.51|F0V    |36.20| 0.01| 0.01|HIP6748
HIP6813  |01 27 39.4|+45 24 24|2000| 4.83|F5IV   |28.30| 0.36|-0.11|HIP6813
HIP6917  |01 29 04.9|+21 43 23|2000| 7.74|K2V    |23.10| 0.46|-0.19|HIP6917
HIP7078  |01 31 13.8|+70 15 52|2000| 5.82|F6V    |29.20| 0.14|-0.08|HIP7078
HIP7235  |01 33 15.8|-24 10 40|2000| 6.97|K0V    |19.50| 0.27|-0.16|HIP7235
HIP7339  |01 34 33.3|+68 56 53|2000| 6.52|G6V    |20.90|-0.38| 0.12|HIP7339
HIP7387  |01 35 15.0|-58 08 22|2000| 6.03|F2V    |40.40| 0.28|-0.03|HIP7387
HIP7513  |01 36 47.8|+41 24 19|2000| 4.10|F8V    |13.40|-0.17|-0.38|HIP7513
HIP7535  |01 37 05.9|+12 08 29|2000| 5.54|F0V    |33.80|-0.07| 0.01|HIP7535
HIP7576  |01 37 35.5|-06 45 37|2000| 7.66|G5     |23.60| 0.17|-0.10|HIP7576
GJ65A    |01 39 01.3|-17 57 01|2000|12.60|M5.5V  | 2.67| 3.32| 0.56|GJ65A
HIP7734  |01 39 36.0|+45 52 39|2000| 6.60|G5IV   |21.30| 0.22|-0.23|HIP7734
HIP7748  |01 39 45.7|+73 42 32|2000| 9.81|---    |27.20| 0.16|-0.11|HIP7748
HIP7751  |01 39 47.5|-56 11 47|2000| 5.76|K0V    | 8.14| 0.29| 0.02|HIP7751
HIP7918  |01 41 47.1|+42 36 48|2000| 4.96|G2V    |12.60| 0.79|-0.18|HIP7918
HIP7978  |01 42 29.3|-53 44 27|2000| 5.52|F8V    |17.30| 0.17|-0.11|HIP7978
HIP7981  |01 42 29.8|+20 16 06|2000| 5.24|K1V    | 7.46|-0.30|-0.68|HIP7981
HIP8051  |01 43 20.2|+04 19 18|2000|10.90|M2V:   |11.20|-0.42|-0.76|HIP8051
HIP8070  |01 43 40.7|+63 49 24|2000| 8.42|K5V    |13.40|-0.39|-0.58|HIP8070
GJ71     |01 44 04.1|-15 56 15|2000| 3.49|G8.5V  | 3.65|-1.72| 0.85|GJ71
HIP8209  |01 45 38.8|-25 03 09|2000| 5.29|F2IV   |27.40| 0.16|-0.07|HIP8209
HIP8275  |01 46 38.7|+12 24 42|2000| 8.91|K5     |23.00| 0.03|-0.08|HIP8275
HIP8362  |01 47 44.8|+63 51 09|2000| 5.63|K0V    | 9.97| 0.58|-0.25|HIP8362
HIP8486  |01 49 23.4|+10 42 12|2000| 6.72|G0     |23.00|-0.12|-0.10|HIP8486
HIP8497  |01 49 35.1|+10 41 11|2000| 4.66|F3III  |23.60|-0.15|-0.09|HIP8497
HIP8543  |01 50 07.9|+29 27 52|2000| 8.06|K1V    |26.70|-0.04|-0.06|HIP8543
HIP8768  |01 52 49.2|-22 26 05|2000| 8.89|K5/M0V |11.00| 0.84| 0.00|HIP8768
HIP8867  |01 54 06.1|+66 10 34|2000| 8.47|G5     |22.10|-0.04|-0.14|HIP8867
HIP8903  |01 54 38.4|+20 48 28|2000| 2.64|A5V... |18.20| 0.10|-0.11|HIP8903
HIP9007  |01 55 57.5|-51 36 32|2000| 3.69|G5IV   |17.40| 0.68| 0.28|HIP9007
HIP9044  |01 56 32.5|-60 13 35|2000| 8.61|K5V    |19.70| 0.45| 0.19|HIP9044
HIP9085  |01 57 00.0|-51 45 58|2000| 6.10|F8V    |26.30| 0.35| 0.25|HIP9085
HIP9094  |01 57 09.6|+10 14 32|2000| 6.42|G5     |33.90|-0.37|-0.24|HIP9094
HIP9153  |01 57 55.7|+23 35 45|2000| 4.79|F0V    |40.80|-0.09|-0.01|HIP9153
HIP9236  |01 58 46.2|-61 34 11|2000| 2.86|F0V    |21.80| 0.26| 0.03|HIP9236
HIP9269  |01 59 06.6|+33 12 34|2000| 7.14|G5     |24.50| 0.24|-0.35|HIP9269
GJ83.1   |02 00 13.2|+13 03 08|2000|12.30|M4.0V  | 4.44| 1.12|-1.77|GJ83.1
HIP9480  |02 01 57.5|+70 54 25|2000| 4.49|A3IV   |35.80|-0.05|-0.01|HIP9480
HIP9487  |02 02 02.8|+02 45 49|2000| 3.82|A2     |42.60| 0.03| 0.00|HIP9487
HIP9598  |02 03 26.1|+72 25 16|2000| 3.95|A2V    |49.70|-0.04| 0.02|HIP9598
HIP9716  |02 04 59.3|-15 40 41|2000| 7.79|K0V    |25.50| 0.02|-0.05|HIP9716
HIP9724  |02 05 04.8|-17 36 52|2000|10.10|M3     | 9.43| 1.32|-0.17|HIP9724
HIP9727  |02 05 07.4|+77 16 52|2000| 5.27|F0Vn   |33.50| 0.14|-0.05|HIP9727
HIP9829  |02 06 30.2|+24 20 02|2000| 6.89|G2V    |23.10| 0.01|-0.15|HIP9829
HIP9884  |02 07 10.4|+23 27 44|2000| 2.01|K2III  |20.20| 0.19|-0.15|HIP9884
HIP10138 |02 10 25.9|-50 49 25|2000| 6.12|K0V    |10.90| 2.09| 0.65|HIP10138
HIP10279 |02 12 21.0|+03 34 32|2000|10.00|M3V:   |10.30|-1.76|-1.85|HIP10279
HIP10306 |02 12 48.1|+21 12 39|2000| 5.23|F5V    |30.10| 0.16| 0.00|HIP10306
HIP10337 |02 13 12.2|-21 11 47|2000| 9.84|K7V    |23.20| 0.38| 0.05|HIP10337
HIP10395 |02 13 53.6|-32 02 28|2000|10.30|---    |12.30| 0.76|-0.53|HIP10395
HIP10416 |02 14 13.6|-03 38 06|2000| 8.55|K2     |22.80|-0.01|-0.22|HIP10416
HIP10542 |02 15 46.1|-18 14 17|2000| 7.94|K3V    |22.20|-0.04|-0.12|HIP10542
HIP10617 |02 16 41.2|-30 59 18|2000|12.00|---    |14.20| 0.68| 0.25|HIP10617
HIP10644 |02 17 03.2|+34 13 27|2000| 4.84|G0V    |10.80| 1.15|-0.25|HIP10644
HIP10670 |02 17 18.9|+33 50 49|2000| 4.03|A1Vnn  |36.00| 0.04|-0.05|HIP10670
HIP10723 |02 18 01.4|+01 45 28|2000| 5.60|G0.5IV |24.90| 0.37| 0.37|HIP10723
HIP10798 |02 18 58.5|-25 56 44|2000| 6.33|G8V    |12.60|-0.22| 0.44|HIP10798
HIP10812 |02 19 10.1|-36 46 41|2000|11.50|---    |13.90| 1.39| 0.55|HIP10812
HIP10925 |02 20 42.9|-39 02 01|2000| 8.67|K3/K4V |25.40| 0.21|-0.03|HIP10925
HIP11000 |02 21 44.4|-06 52 46|2000| 9.07|K0     |26.70| 0.30| 0.05|HIP11000
HIP11001 |02 21 44.9|-68 39 33|2000| 4.08|A3V    |41.40|-0.05| 0.00|HIP11001
HIP11029 |02 22 01.5|+10 46 39|2000| 5.43|F0V    |29.80| 0.15|-0.08|HIP11029
HIP11048 |02 22 14.6|+47 52 48|2000| 9.40|M2     |11.90| 0.22| 0.04|HIP11048
HIP11090 |02 22 50.3|+41 23 46|2000| 5.81|F0III-I|47.20|-0.07|-0.10|HIP11090
HIP11452 |02 27 45.9|+04 25 55|2000| 8.69|K7V:   |16.60| 0.09| 0.24|HIP11452
HIP11477 |02 28 01.7|-33 48 39|2000| 5.13|A2/A3V |46.80| 0.02| 0.01|HIP11477
HIP11565 |02 29 01.7|-19 58 44|2000| 8.78|K4V    |18.90| 0.61| 0.19|HIP11565
HIP11569 |02 29 03.9|+67 24 08|2000| 4.46|A5p Sr |43.40|-0.03| 0.04|HIP11569
HIP11759 |02 31 42.5|-15 16 24|2000| 8.67|K2V    |26.10|-0.08|-0.12|HIP11759
HIP11783 |02 32 05.2|-15 14 40|2000| 4.74|F5V    |25.80|-0.08|-0.15|HIP11783
HIP11852 |02 32 58.9|-72 41 14|2000| 8.84|K4V    |22.50| 0.14| 0.20|HIP11852
HIP11964 |02 34 22.6|-43 47 46|2000| 8.89|K7V com|11.50| 0.06|-0.29|HIP11964
HIP12097 |02 35 53.3|+20 13 11|2000|10.60|M2     |13.90| 0.25|-0.14|HIP12097
HIP12110 |02 36 00.8|-23 31 16|2000| 8.34|K3V    |21.20| 0.08| 0.01|HIP12110
HIP12114 |02 36 04.9|+06 53 12|2000| 5.79|K3V    | 7.20| 1.81| 1.44|HIP12114
HIP12158 |02 36 41.8|-03 09 22|2000| 8.10|K0     |24.30| 0.32| 0.06|HIP12158
HIP12225 |02 37 24.4|-52 32 35|2000| 5.30|A6V    |44.40| 0.11| 0.00|HIP12225
HIP12351 |02 39 01.2|-58 11 13|2000| 9.48|M0Ve   |16.50|-0.02| 0.03|HIP12351
HIP12390 |02 39 33.8|-11 52 19|2000| 4.83|F5V    |27.00| 0.17|-0.24|HIP12390
HIP12394 |02 39 35.4|-68 16 00|2000| 4.12|B9III  |47.00| 0.09| 0.00|HIP12394
HIP12413 |02 39 48.0|-42 53 30|2000| 4.74|A2V    |39.70| 0.09|-0.02|HIP12413
HIP12444 |02 40 12.4|-09 27 10|2000| 5.79|F6V    |21.50|-0.14|-0.08|HIP12444
HIP12447 |02 40 15.7|+06 06 42|2000| 6.26|F3V:   |39.60| 0.05| 0.00|HIP12447
HIP12493 |02 40 42.9|+01 11 55|2000| 9.51|M0     |22.30| 0.28| 0.23|HIP12493
HIP12530 |02 41 14.0|-00 41 44|2000| 5.72|F7IV   |21.60| 0.22|-0.13|HIP12530
HIP12653 |02 42 33.5|-50 48 01|2000| 5.40|G3IV   |17.20| 0.33| 0.22|HIP12653
HIP12706 |02 43 18.0|+03 14 08|2000| 3.47|A3V    |25.10|-0.15|-0.15|HIP12706
HIP12709 |02 43 20.9|+19 25 45|2000| 8.23|K5     |18.50| 0.43|-0.02|HIP12709
HIP12723 |02 43 34.2|-46 27 17|2000| 9.04|K5V    |27.40| 0.07|-0.53|HIP12723
HIP12777 |02 44 12.0|+49 13 42|2000| 4.10|F7V    |11.20| 0.33|-0.09|HIP12777
HIP12781 |02 44 15.5|+25 31 24|2000|10.50|M3.5Ve | 7.55| 0.86|-0.37|HIP12781
HIP12828 |02 44 56.5|+10 06 50|2000| 4.27|F1III-I|25.80| 0.29|-0.03|HIP12828
HIP12832 |02 44 57.6|+12 26 44|2000| 5.17|A7III-I|38.20| 0.12|-0.08|HIP12832
HIP12843 |02 45 06.2|-18 34 21|2000| 4.47|F5/F6V |13.90| 0.33| 0.04|HIP12843
HIP12929 |02 46 17.3|+11 46 30|2000| 8.59|K5     |15.90| 0.27|-0.21|HIP12929
HIP12961 |02 46 42.9|-23 05 11|2000|10.20|M0     |23.80| 0.29| 0.14|HIP12961
HIP13008 |02 47 11.1|-22 29 08|2000| 6.47|F2V    |38.10|-0.02|-0.04|HIP13008
HIP13081 |02 48 09.1|+27 04 07|2000| 7.56|K1V    |22.30| 0.26|-0.13|HIP13081
HIP13218 |02 50 09.7|-53 08 20|2000|10.70|M      |13.00|-0.12| 0.50|HIP13218
HIP13258 |02 50 36.9|+15 42 35|2000| 8.87|K5     |22.40| 0.34|-0.40|HIP13258
HIP13375 |02 52 07.1|+34 23 21|2000| 9.60|K6:    |14.20| 0.99|-0.99|HIP13375
HIP13389 |02 52 22.2|-63 40 47|2000|11.30|M      |11.50| 0.98| 0.63|HIP13389
HIP13402 |02 52 32.1|-12 46 10|2000| 6.05|K1V    |10.30| 0.40|-0.19|HIP13402
SO0253   |02 53 00.9|+16 52 53|2000|15.10|M6.5V  | 3.85| 3.40|-3.81|NAME SO J025300.5+165258
HIP13601 |02 55 17.4|+16 18 33|2000| 7.41|G5     |26.10| 0.20|-0.05|HIP13601
HIP13642 |02 55 39.1|+26 52 23|2000| 7.52|K2     |22.80| 0.26|-0.19|HIP13642
HIP13665 |02 55 56.9|+61 31 16|2000| 5.59|F4V    |26.40| 0.15| 0.03|HIP13665
HIP13769 |02 57 13.2|-24 58 30|2000| 7.84|K2V    |25.70| 0.02|-0.03|HIP13769
